# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
114,1773201727.8392978,364800,-1.270259141921997,0.5155086517333984,1.2680109739303589,0.25023603439331055,1.2671613693237305,2.065485715866089
115,1773201728.5308602,368000,-1.270259141921997,0.5155086517333984,1.2680109739303589,0.25023603439331055,1.270259141921997,2.5810275077819824
116,1773201733.4104865,371200,-1.270259141921997,0.5155086517333984,1.2723655700683594,0.5114322304725647,1.270259141921997,2.5810275077819824
117,1773201741.9051576,374400,-1.2735556364059448,0.32476526498794556,1.2723655700683594,0.5114322304725647,1.270259141921997,2.5810275077819824
118,1773201742.3758512,377600,-1.2735556364059448,0.32476526498794556,1.2723655700683594,0.5114322304725647,1.2737420797348022,2.2701690196990967
119,1773201747.8228385,380800,-1.2735556364059448,0.32476526498794556,1.274670958518982,0.3814912438392639,1.2737420797348022,2.2701690196990967
120,1773201756.0315294,384000,-1.2734999656677246,0.4617198705673218,1.274670958518982,0.3814912438392639,1.2737420797348022,2.2701690196990967
121,1773201756.9628267,387200,-1.2734999656677246,0.4617198705673218,1.274670958518982,0.3814912438392639,1.273681879043579,2.0471019744873047
122,1773201762.5818577,390400,-1.2734999656677246,0.4617198705673218,1.274574637413025,0.3842609226703644,1.273681879043579,2.0471019744873047
123,1773201770.2048395,393600,-1.2747900485992432,0.38294294476509094,1.274574637413025,0.3842609226703644,1.273681879043579,2.0471019744873047
124,1773201771.0448408,396800,-1.2747900485992432,0.38294294476509094,1.274574637413025,0.3842609226703644,1.2751914262771606,2.21555757522583
125,1773201776.9600086,400000,-1.2747900485992432,0.38294294476509094,1.2746365070343018,0.3869856894016266,1.2751914262771606,2.21555757522583
126,1773201784.681028,403200,-1.274084448814392,0.3455248177051544,1.2746365070343018,0.3869856894016266,1.2751914262771606,2.21555757522583
127,1773201785.2874808,406400,-1.274084448814392,0.3455248177051544,1.2746365070343018,0.3869856894016266,1.274347186088562,1.791856050491333
128,1773201791.711162,409600,-1.274084448814392,0.3455248177051544,1.274567723274231,0.27604904770851135,1.274347186088562,1.791856050491333
129,1773201798.2174754,412800,-1.2741018533706665,0.3903230130672455,1.274567723274231,0.27604904770851135,1.274347186088562,1.791856050491333
130,1773201799.0268602,416000,-1.2741018533706665,0.3903230130672455,1.274567723274231,0.27604904770851135,1.2743223905563354,1.9640789031982422
131,1773201806.2116303,419200,-1.2741018533706665,0.3903230130672455,1.275368094444275,0.29565054178237915,1.2743223905563354,1.9640789031982422
132,1773201812.7831686,422400,-1.2755416631698608,0.3783539831638336,1.275368094444275,0.29565054178237915,1.2743223905563354,1.9640789031982422
133,1773201813.6568735,425600,-1.2755416631698608,0.3783539831638336,1.275368094444275,0.29565054178237915,1.2755509614944458,2.2078263759613037
134,1773201820.8842034,428800,-1.2755416631698608,0.3783539831638336,1.2755801677703857,0.27768373489379883,1.2755509614944458,2.2078263759613037
135,1773201827.3593724,432000,-1.2771602869033813,0.556346595287323,1.2755801677703857,0.27768373489379883,1.2755509614944458,2.2078263759613037
136,1773201828.2032244,435200,-1.2771602869033813,0.556346595287323,1.2755801677703857,0.27768373489379883,1.277333378791809,2.51261568069458
137,1773201835.220147,438400,-1.2771602869033813,0.556346595287323,1.277741551399231,0.6325578689575195,1.277333378791809,2.51261568069458
138,1773201841.5658932,441600,-1.2786637544631958,0.4638095796108246,1.277741551399231,0.6325578689575195,1.277333378791809,2.51261568069458
139,1773201841.9498334,444800,-1.2786637544631958,0.4638095796108246,1.277741551399231,0.6325578689575195,1.2787535190582275,2.2911596298217773
140,1773201849.3232212,448000,-1.2786637544631958,0.4638095796108246,1.279590368270874,0.5384231805801392,1.2787535190582275,2.2911596298217773
141,1773201855.8989923,451200,-1.2802817821502686,0.6377280950546265,1.279590368270874,0.5384231805801392,1.2787535190582275,2.2911596298217773
142,1773201856.6958659,454400,-1.2802817821502686,0.6377280950546265,1.279590368270874,0.5384231805801392,1.2804125547409058,2.4700450897216797
143,1773201864.2057002,457600,-1.2802817821502686,0.6377280950546265,1.280505895614624,0.4721132814884186,1.2804125547409058,2.4700450897216797
144,1773201870.1440988,460800,-1.281444787979126,0.5370810627937317,1.280505895614624,0.4721132814884186,1.2804125547409058,2.4700450897216797
145,1773201871.076207,464000,-1.281444787979126,0.5370810627937317,1.280505895614624,0.4721132814884186,1.2822529077529907,2.565000295639038
146,1773201878.6719255,467200,-1.281444787979126,0.5370810627937317,1.2826921939849854,0.3035103678703308,1.2822529077529907,2.565000295639038
147,1773201885.226234,470400,-1.2829089164733887,0.2020629495382309,1.2826921939849854,0.3035103678703308,1.2822529077529907,2.565000295639038
148,1773201885.8178153,473600,-1.2829089164733887,0.2020629495382309,1.2826921939849854,0.3035103678703308,1.2828505039215088,2.007666826248169
149,1773201893.0672112,476800,-1.2829089164733887,0.2020629495382309,1.2817944288253784,0.4488806128501892,1.2828505039215088,2.007666826248169
150,1773201899.3945315,480000,-1.2830859422683716,0.5909077525138855,1.2817944288253784,0.4488806128501892,1.2828505039215088,2.007666826248169
151,1773201900.1240914,483200,-1.2830859422683716,0.5909077525138855,1.2817944288253784,0.4488806128501892,1.2833093404769897,2.2089576721191406
152,1773201907.423261,486400,-1.2830859422683716,0.5909077525138855,1.2818713188171387,0.8875999450683594,1.2833093404769897,2.2089576721191406
153,1773201913.6049027,489600,-1.2815115451812744,0.7775967121124268,1.2818713188171387,0.8875999450683594,1.2833093404769897,2.2089576721191406
154,1773201914.1960661,492800,-1.2815115451812744,0.7775967121124268,1.2818713188171387,0.8875999450683594,1.281754493713379,2.1991631984710693
155,1773201921.5310812,496000,-1.2815115451812744,0.7775967121124268,1.2816418409347534,0.24449756741523743,1.281754493713379,2.1991631984710693
156,1773201928.434561,499200,-1.282797932624817,0.36805883049964905,1.2816418409347534,0.24449756741523743,1.281754493713379,2.1991631984710693
157,1773201929.426856,502400,-1.282797932624817,0.36805883049964905,1.2816418409347534,0.24449756741523743,1.2828810214996338,2.319892406463623
158,1773201937.1887352,505600,-1.282797932624817,0.36805883049964905,1.2820991277694702,0.4367857575416565,1.2828810214996338,2.319892406463623
159,1773201942.9125948,508800,-1.2833342552185059,0.48978152871131897,1.2820991277694702,0.4367857575416565,1.2828810214996338,2.319892406463623
160,1773201943.7188513,512000,-1.2833342552185059,0.48978152871131897,1.2820991277694702,0.4367857575416565,1.2834159135818481,2.1944243907928467
161,1773201952.839194,515200,-1.2833342552185059,0.48978152871131897,1.2821012735366821,0.5125646591186523,1.2834159135818481,2.1944243907928467
162,1773201958.201921,518400,-1.2817018032073975,0.5622546076774597,1.2821012735366821,0.5125646591186523,1.2834159135818481,2.1944243907928467
163,1773201959.1528082,521600,-1.2817018032073975,0.5622546076774597,1.2821012735366821,0.5125646591186523,1.2817151546478271,1.9612865447998047
164,1773201967.5890899,524800,-1.2817018032073975,0.5622546076774597,1.281813383102417,0.303102970123291,1.2817151546478271,1.9612865447998047
165,1773201972.3014653,528000,-1.28339421749115,0.48276740312576294,1.281813383102417,0.303102970123291,1.2817151546478271,1.9612865447998047
166,1773201973.0876477,531200,-1.28339421749115,0.48276740312576294,1.281813383102417,0.303102970123291,1.2834211587905884,2.4343461990356445
167,1773201982.1300735,534400,-1.28339421749115,0.48276740312576294,1.2837074995040894,0.5481718182563782,1.2834211587905884,2.4343461990356445
168,1773201986.5886889,537600,-1.2829667329788208,0.4161306917667389,1.2837074995040894,0.5481718182563782,1.2834211587905884,2.4343461990356445
169,1773201987.1928458,540800,-1.2829667329788208,0.4161306917667389,1.2837074995040894,0.5481718182563782,1.2833102941513062,2.061053514480591
170,1773201996.7288404,544000,-1.2829667329788208,0.4161306917667389,1.2837141752243042,0.3713569641113281,1.2833102941513062,2.061053514480591
171,1773202002.27516,547200,-1.2838351726531982,0.45666196942329407,1.2837141752243042,0.3713569641113281,1.2833102941513062,2.061053514480591
172,1773202003.1568737,550400,-1.2838351726531982,0.45666196942329407,1.2837141752243042,0.3713569641113281,1.2843427658081055,2.315904140472412
173,1773202012.2392046,553600,-1.2838351726531982,0.45666196942329407,1.2838557958602905,0.6467007994651794,1.2843427658081055,2.315904140472412
174,1773202017.4473104,556800,-1.2843984365463257,0.8320227861404419,1.2838557958602905,0.6467007994651794,1.2843427658081055,2.315904140472412
175,1773202018.623886,560000,-1.2843984365463257,0.8320227861404419,1.2838557958602905,0.6467007994651794,1.2843950986862183,2.4828414916992188
176,1773202027.290724,563200,-1.2843984365463257,0.8320227861404419,1.285805344581604,0.5460737347602844,1.2843950986862183,2.4828414916992188
177,1773202031.719571,566400,-1.2849841117858887,0.6469065546989441,1.285805344581604,0.5460737347602844,1.2843950986862183,2.4828414916992188
178,1773202032.6848824,569600,-1.2849841117858887,0.6469065546989441,1.285805344581604,0.5460737347602844,1.2849805355072021,2.318716287612915
179,1773202041.5944421,572800,-1.2849841117858887,0.6469065546989441,1.2866621017456055,0.5453590154647827,1.2849805355072021,2.318716287612915
180,1773202046.1410131,576000,-1.2863905429840088,0.4688834249973297,1.2866621017456055,0.5453590154647827,1.2849805355072021,2.318716287612915
181,1773202046.8928132,579200,-1.2863905429840088,0.4688834249973297,1.2866621017456055,0.5453590154647827,1.2864792346954346,2.4911184310913086
182,1773202056.122135,582400,-1.2863905429840088,0.4688834249973297,1.286826491355896,0.3865509033203125,1.2864792346954346,2.4911184310913086
183,1773202060.8346355,585600,-1.2864060401916504,0.45692557096481323,1.286826491355896,0.3865509033203125,1.2864792346954346,2.4911184310913086
184,1773202061.5641932,588800,-1.2864060401916504,0.45692557096481323,1.286826491355896,0.3865509033203125,1.2865591049194336,2.1667609214782715
185,1773202070.136469,592000,-1.2864060401916504,0.45692557096481323,1.286449909210205,0.45570045709609985,1.2865591049194336,2.1667609214782715
186,1773202074.5700822,595200,-1.2858283519744873,0.27109453082084656,1.286449909210205,0.45570045709609985,1.2865591049194336,2.1667609214782715
187,1773202075.0988536,598400,-1.2858283519744873,0.27109453082084656,1.286449909210205,0.45570045709609985,1.286049485206604,1.9586989879608154
188,1773202085.4952462,601600,-1.2858283519744873,0.27109453082084656,1.2861533164978027,0.306106299161911,1.286049485206604,1.9586989879608154
189,1773202089.1595094,604800,-1.2855288982391357,0.33020979166030884,1.2861533164978027,0.306106299161911,1.286049485206604,1.9586989879608154
190,1773202090.2063918,608000,-1.2855288982391357,0.33020979166030884,1.2861533164978027,0.306106299161911,1.2858810424804688,2.0390079021453857
191,1773202099.8444834,611200,-1.2855288982391357,0.33020979166030884,1.2846906185150146,0.7550482153892517,1.2858810424804688,2.0390079021453857
192,1773202102.5530956,614400,-1.2835859060287476,0.879848301410675,1.2846906185150146,0.7550482153892517,1.2858810424804688,2.0390079021453857
193,1773202103.3708146,617600,-1.2835859060287476,0.879848301410675,1.2846906185150146,0.7550482153892517,1.2838197946548462,2.1260626316070557
194,1773202113.904001,620800,-1.2835859060287476,0.879848301410675,1.2819492816925049,0.7132667303085327,1.2838197946548462,2.1260626316070557
195,1773202117.1220744,624000,-1.2809221744537354,0.7885299324989319,1.2819492816925049,0.7132667303085327,1.2838197946548462,2.1260626316070557
196,1773202118.117845,627200,-1.2809221744537354,0.7885299324989319,1.2819492816925049,0.7132667303085327,1.2804323434829712,1.8189716339111328
197,1773202128.0971928,630400,-1.2809221744537354,0.7885299324989319,1.2785141468048096,1.1506565809249878,1.2804323434829712,1.8189716339111328
198,1773202130.7785764,633600,-1.2771928310394287,1.2718331813812256,1.2785141468048096,1.1506565809249878,1.2804323434829712,1.8189716339111328
199,1773202131.679819,636800,-1.2771928310394287,1.2718331813812256,1.2785141468048096,1.1506565809249878,1.2774296998977661,2.1679587364196777
200,1773202141.761481,640000,-1.2771928310394287,1.2718331813812256,1.2752671241760254,0.9946296215057373,1.2774296998977661,2.1679587364196777
201,1773202145.052549,643200,-1.2746317386627197,1.1045527458190918,1.2752671241760254,0.9946296215057373,1.2774296998977661,2.1679587364196777
202,1773202146.0562928,646400,-1.2746317386627197,1.1045527458190918,1.2752671241760254,0.9946296215057373,1.2751322984695435,2.3431270122528076
203,1773202156.1781852,649600,-1.2746317386627197,1.1045527458190918,1.275336742401123,0.8510680198669434,1.2751322984695435,2.3431270122528076
204,1773202158.8653705,652800,-1.2746638059616089,0.876673698425293,1.275336742401123,0.8510680198669434,1.2751322984695435,2.3431270122528076
205,1773202160.140813,656000,-1.2746638059616089,0.876673698425293,1.275336742401123,0.8510680198669434,1.2750152349472046,2.4415223598480225
206,1773202170.551147,659200,-1.2746638059616089,0.876673698425293,1.274245023727417,0.625822901725769,1.2750152349472046,2.4415223598480225
207,1773202172.8864799,662400,-1.2741490602493286,0.5746797919273376,1.274245023727417,0.625822901725769,1.2750152349472046,2.4415223598480225
208,1773202174.118843,665600,-1.2741490602493286,0.5746797919273376,1.274245023727417,0.625822901725769,1.273720145225525,1.9459965229034424
209,1773202184.5671656,668800,-1.2741490602493286,0.5746797919273376,1.2724567651748657,0.958790123462677,1.273720145225525,1.9459965229034424
210,1773202187.3401556,672000,-1.2717387676239014,1.1329808235168457,1.2724567651748657,0.958790123462677,1.273720145225525,1.9459965229034424
211,1773202189.0406451,675200,-1.2717387676239014,1.1329808235168457,1.2724567651748657,0.958790123462677,1.2728028297424316,2.80757999420166
212,1773202198.4042368,678400,-1.2717387676239014,1.1329808235168457,1.2717310190200806,0.9160633683204651,1.2728028297424316,2.80757999420166
213,1773202201.8127527,681600,-1.2713114023208618,0.9411432147026062,1.2717310190200806,0.9160633683204651,1.2728028297424316,2.80757999420166
214,1773202203.6298175,684800,-1.2713114023208618,0.9411432147026062,1.2717310190200806,0.9160633683204651,1.2713556289672852,2.205314874649048
